Botanical,Family,District,Collection,Date,latitude,longitude
Pistacia atlantica,Anacardiaceae,Shimla,SHM/07/P/55,27.04.2006,30.404105,79.331769
Pistacia atlantica,Anacardiaceae,Shimla,SHM/07/P/56,06.04.2006,34.553852,76.134894
Pistacia integerrima,Anacardiaceae,Nainital,MGD-65/03,26.07.2003,30.404105,79.331769
Rhus chinensis,Anacardiaceae,Tinsukia,SMBRH-64,01.03.2003,29.380304,79.463566
Rhus javanica,Anacardiaceae,Garhwal,,26.06.1995,31.104815,77.173403
Rhus javanica,Anacardiaceae,Nainital,KSN/KCP-9,Oct. 1986,31.708166,76.931367
Rhus mysorensis,Anacardiaceae,Bellary,KFP 4235,13.11.1978,18.052936,78.261853
Rhus parviflora,Anacardiaceae,Sirmaur,,,18.296975,83.896781
Semecarpus anacardium,Anacardiaceae,Ratnagiri,BBJ-2,10.02.2000,25.806656,73.331043
Semecarpus anacardium,Anacardiaceae,Mysore,KFP 7567,15.05.1979,14.793707,74.686882
Solenocarpus indica,Anacardiaceae,Uttara Kannada,KFP 13056,23.06.1981,14.793707,74.686882
Spondias acuminata,Anacardiaceae,Kodagu,KFP 3148,10.10.1978,14.793707,74.686882
Annona reticulata,Annonaceae,Hyderabad,RG-2001,11.09.2001,14.793707,74.686882
Annona squamosa,Annonaceae,Chitradurga,KFP 7276,21.04.1979,27.481111,94.557285
Artabotrys zeylanicus,Annonaceae,Chikmagalur,KFP 5410,15.12.1978,17.389138,77.836728
Desmos lawii,Annonaceae,Shimoga,KFP 7399,23.04.1979,20.123133,85.103843
Goniothalamus cardiopetalus,Annonaceae,Uttara Kannada,KFP 3033,28.09.1978,17.389138,77.836728
Goniothalamus sesquipedalis,Annonaceae,Kamrup,SMBRH-149,27.03.2003,12.5,92.75
Miliusa tomentosa,Annonaceae,Akola,,18.01.1965,31.104815,77.173403
Miliusa velutina,Annonaceae,Ramanagar,KFP 8142,17.06.1979,31.104815,77.173403
Miliusa wightiana,Annonaceae,Dakshina Kannada,KFP 7609,04.05.1979,26.65285,92.792559
